Original,Simplified
"The company, after weeks of heated deliberation with its competitors, was formally accused of **collusion** by the federal regulatory board.","The company, after weeks of heated deliberation with its competitors, was formally accused of **secret cooperation** by the federal regulatory board."
"Even though the accused was considered a known accomplice, the court lacked sufficient evidence to convict him as an **accessory** to the crime.","Even though the accused was considered a known accomplice, the court lacked sufficient evidence to convict him as a **helper** to the crime."
"After their legal **accord** was finalized, the two neighbors put aside their long-standing animosity and began rebuilding their relationship.","After their legal **agreement** was finalized, the two neighbors put aside their long-standing animosity and began rebuilding their relationship."
"The court's final **adjudication** in the child custody case provided a clear resolution for both parents after months of litigation.","The court's final **formal judgment** in the child custody case provided a clear resolution for both parents after months of litigation."
"The jury, after a period of intense and difficult deliberation, announced its **acquittal** of the defendant on all charges.","The jury, after a period of intense and difficult deliberation, announced its **not guilty verdict** for the defendant on all charges."
"Due to the patient's deteriorating condition, the doctor had to perform an emergency **ablation** to remove the tumor.","Due to the patient's deteriorating condition, the doctor had to perform an emergency **removal** to remove the tumor."
"In the event of a merger, the new company will be considered an **affiliate** of the larger parent corporation for a transitional period.","In the event of a merger, the new company will be considered a **subsidiary** of the larger parent corporation for a transitional period."
"The prosecution's entire case was built upon a single, serious **allegation** made by an anonymous source with an unknown history.","The prosecution's entire case was built upon a single, serious **unproven claim** made by an anonymous source with an unknown history."
"The defendant, who had been incarcerated for the past decade, was granted **amnesty** and released from prison with a clean slate.","The defendant, who had been incarcerated for the past decade, was granted a **pardon** and released from prison with a clean slate."
"Following a sudden medical emergency, the patient was given a powerful **analgesic** to help manage her severe pain before being transported to the hospital.","Following a sudden medical emergency, the patient was given a powerful **pain reliever** to help manage her severe pain before being transported to the hospital."
"The doctor recommended **abstinence** from alcohol and tobacco for at least six months to improve the patient's overall health and well-being.","The doctor recommended a **avoidance** from alcohol and tobacco for at least six months to improve the patient's overall health and well-being."
"Because the symptoms had a rapid onset and were extremely severe, the doctor concluded that the patient was experiencing an **acute** condition.","Because the symptoms had a rapid onset and were extremely severe, the doctor concluded that the patient was experiencing a **severe and sudden** condition."
"The company, unable to pay its overwhelming debts, was forced to file for **bankruptcy** and enter into a lengthy liquidation process.","The company, unable to pay its overwhelming debts, was forced to file for **inability to pay debts** and enter into a lengthy liquidation process."
"After a thorough investigation, the police found no credible proof that the defendant had **abet** the crime.","After a thorough investigation, the police found no credible proof that the defendant had **help** the crime."
"The company's new public statement was a clear **abdication** of its previous commitments to environmental protection and sustainability.","The company's new public statement was a clear **formal giving up** of its previous commitments to environmental protection and sustainability."
"The team, in order to rapidly iterate and respond to customer feedback, decided to adopt an **agile** development approach.","The team, in order to rapidly iterate and respond to customer feedback, decided to adopt a **flexible and iterative** development approach."
"The court decided to put the entire case in **abeyance** until all the legal documents could be properly reviewed and authenticated.","The court decided to put the entire case on **temporary hold** until all the legal documents could be properly reviewed and authenticated."
"The patient's condition was complicated by a pre-existing **comorbidity** of diabetes and heart disease.","The patient's condition was complicated by a pre-existing **two or more diseases at the same time** of diabetes and heart disease."
"The jury's ability to remain impartial was questioned by the defense attorney, who requested the court to have a **challenge** to the juror.","The jury's ability to remain impartial was questioned by the defense attorney, who requested the court to have an **objection** to the juror."
"The patient, who had been struggling with a persistent cough, was ultimately diagnosed with **bronchitis**, an inflammation of the airways.","The patient, who had been struggling with a persistent cough, was ultimately diagnosed with an **inflammation of the airways**, an inflammation of the airways."
"To everyone's surprise, the judge decided to **abate** the legal proceedings for a full two weeks while he considered the new evidence.","To everyone's surprise, the judge decided to **suspend** the legal proceedings for a full two weeks while he considered the new evidence."
"The prosecution had the **burden of proof**, which meant they had the legal responsibility to convince the jury of the defendant's guilt.","The prosecution had the **obligation to prove the case**, which meant they had the legal responsibility to convince the jury of the defendant's guilt."
"The witness, fearing legal repercussions, presented a formal **disavowal** of his previous sworn statement to the authorities.","The witness, fearing legal repercussions, presented a formal **denial** of his previous sworn statement to the authorities."
"The team, after a brief **sprint** of intense work, was able to deliver a functional prototype to the stakeholders.","The team, after a brief **short, time-boxed period when a scrum team works to complete a set amount of work** of intense work, was able to deliver a functional prototype to the stakeholders."
"The surgeon, using a sterile instrument, had to **ablate** the cancerous cells to prevent them from spreading further into the surrounding tissue.","The surgeon, using a sterile instrument, had to **remove** the cancerous cells to prevent them from spreading further into the surrounding tissue."
"The suspect, who had been released on **bail** the previous day, failed to appear for his court hearing as scheduled.","The suspect, who had been released on a **security deposit** the previous day, failed to appear for his court hearing as scheduled."
"The defendant, as a condition of his **parole**, was required to report to a probation officer on a weekly basis.","The defendant, as a condition of his **early release from prison**, was required to report to a probation officer on a weekly basis."
"Following the collapse of the company, the government, in a rare move, issued a **writ** of mandamus against the corporate CEO.","Following the collapse of the company, the government, in a rare move, issued a **court order** against the corporate CEO."
"The jury was unable to reach a unanimous decision, resulting in a **hung jury** that required the case to be retried.","The jury was unable to reach a unanimous decision, resulting in a **jury that cannot agree on a verdict** that required the case to be retried."
"The company, in a surprising turn of events, decided to completely **annul** the contract with its largest client.","The company, in a surprising turn of events, decided to completely **cancel** the contract with its largest client."
"The new law, which was passed by the city council, was an **ordinance** that regulated public parking.","The new law, which was passed by the city council, was a **local law** that regulated public parking."
"The prosecutor’s request for additional time was granted, resulting in a **continuance** of the trial.","The prosecutor’s request for additional time was granted, resulting in a **postponement** of the trial."
"After a long negotiation, the two countries reached an agreement and signed a formal **treaty**.","After a long negotiation, the two countries reached an agreement and signed a formal **agreement between countries**."
"The police officer, upon noticing the suspect's abnormal behavior, read the **Miranda rights** before questioning him.","The police officer, upon noticing the suspect's abnormal behavior, read the **rights that are read to a person who is arrested** before questioning him."
"After months of intense debate and negotiation, the parties finally came to a **settlement** that resolved the long-standing legal dispute.","After months of intense debate and negotiation, the parties finally came to an **agreement to end a lawsuit** that resolved the long-standing legal dispute."
"The defendant's attorney made a strong **rebuttal** to the prosecution's closing argument, questioning the validity of their evidence.","The defendant's attorney made a strong **evidence that contradicts other evidence** to the prosecution's closing argument, questioning the validity of their evidence."
"The patient, after a severe car accident, had to undergo an emergency **hemodialysis** to filter the toxins from her blood.","The patient, after a severe car accident, had to undergo an emergency **blood filtering treatment** to filter the toxins from her blood."
"After weeks of planning, the two companies announced their intention to **consolidate** their operations, hoping to gain a competitive advantage.","After weeks of planning, the two companies announced their intention to **combine** their operations, hoping to gain a competitive advantage."
"The lawyer presented a signed **affidavit** from an out-of-state witness as a crucial piece of evidence in the civil trial.","The lawyer presented a signed **sworn written statement** from an out-of-state witness as a crucial piece of evidence in the civil trial."
"The new law was considered **unconscionable** by legal experts due to its shockingly unfair and one-sided nature.","The new law was considered **shockingly unfair** by legal experts due to its shockingly unfair and one-sided nature."
"The patient was diagnosed with **cholelithiasis** after an ultrasound revealed the presence of gallstones in her gallbladder.","The patient was diagnosed with **gallstones** after an ultrasound revealed the presence of gallstones in her gallbladder."
"The company, in an attempt to protect its intellectual property, filed a **trademark** for its new logo and product name.","The company, in an attempt to protect its intellectual property, filed a **symbol that identifies a product** for its new logo and product name."
"The prosecutor, convinced of the defendant's guilt, presented his **accusation** to the court during the arraignment.","The prosecutor, convinced of the defendant's guilt, presented his **claim of wrongdoing** to the court during the arraignment."
"The suspect, after being taken into custody, was placed in the holding cell, where they were held in **custody** overnight.","The suspect, after being taken into custody, was placed in the holding cell, where they were held in **jail** overnight."
"The programmer, after discovering the critical error, used a **debugger** to identify the source of the **bug**.","The programmer, after discovering the critical error, used a **program to find and fix errors** to identify the source of the **error**."
"The patient, who had been experiencing shortness of breath for several days, was ultimately diagnosed with **dyspnea** after a series of tests.","The patient, who had been experiencing shortness of breath for several days, was ultimately diagnosed with **shortness of breath** after a series of tests."
"To settle the dispute, the court issued an official **decree** that outlined the new terms for both parties involved.","To settle the dispute, the court issued an official **official order** that outlined the new terms for both parties involved."
"The company's contract with its suppliers contained a **clause** that protected it in the event of a sudden change in market conditions.","The company's contract with its suppliers contained a **provision** that protected it in the event of a sudden change in market conditions."
"In an effort to avoid a lengthy trial, the defense attorney recommended a **plea bargain** to the defendant.","In an effort to avoid a lengthy trial, the defense attorney recommended an **agreement between the defendant and the prosecutor** to the defendant."
"The lawyer's closing argument, which lasted for over an hour, contained a powerful **summation** of the facts and evidence presented during the trial.","The lawyer's closing argument, which lasted for over an hour, contained a powerful **summary** of the facts and evidence presented during the trial."
"The patient, who was suffering from a severe case of **urticaria**, was prescribed a strong antihistamine to help alleviate her symptoms.","The patient, who was suffering from a severe case of **hives**, was prescribed a strong antihistamine to help alleviate her symptoms."
"The judge, having been a lawyer for several decades, was an expert in **jurisprudence**, which gave her a deep understanding of the law.","The judge, having been a lawyer for several decades, was an expert in the **study of law**, which gave her a deep understanding of the law."
"The lawyer presented a new piece of **admissible** evidence that had been previously overlooked by the prosecution.","The lawyer presented a new piece of **valid and acceptable** evidence that had been previously overlooked by the prosecution."
"The suspect's **admission** of guilt was recorded on camera and later used as a key piece of evidence in the trial.","The suspect's **confession** of guilt was recorded on camera and later used as a key piece of evidence in the trial."
"In an attempt to resolve the issue before a trial, the two parties agreed to enter into a process of **mediation** with a neutral third party.","In an attempt to resolve the issue before a trial, the two parties agreed to enter into a process to **resolve a dispute** with a neutral third party."
"The lawyer, realizing that the new evidence was not **admissible**, advised her client not to present it to the court.","The lawyer, realizing that the new evidence was not **allowed to be presented in court**, advised her client not to present it to the court."
"The patient's condition was complicated by a severe case of **gingivitis**, a gum infection that required immediate dental care.","The patient's condition was complicated by a severe case of **gum inflammation**, a gum infection that required immediate dental care."
"The prosecutor, during his **closing argument**, outlined the key facts of the case and urged the jury to find the defendant guilty.","The prosecutor, during his **final statement**, outlined the key facts of the case and urged the jury to find the defendant guilty."
"The patient, who had been suffering from a prolonged period of sadness and low energy, was diagnosed with **lethargy** by the doctor.","The patient, who had been suffering from a prolonged period of sadness and low energy, was diagnosed with a **lack of energy** by the doctor."
"The two corporations, after a long negotiation, finally entered into a new **contract** that outlined the terms of their new partnership.","The two corporations, after a long negotiation, finally entered into a new **legal agreement** that outlined the terms of their new partnership."
"In order to protect his family's property, the landowner had to file a legal **lien** against the contractor who had failed to complete the work.","In order to protect his family's property, the landowner had to file a legal **claim** against the contractor who had failed to complete the work."
"The patient's condition, which had been in a state of remission for several years, suddenly began to **exacerbate** again.","The patient's condition, which had been in a state of remission for several years, suddenly began to **worsen** again."
"The defense attorney's request for a **mistrial** was granted by the judge due to a serious error in the proceedings.","The defense attorney's request for a **trial that is not valid** was granted by the judge due to a serious error in the proceedings."
"The plaintiff, who had suffered significant emotional and financial loss, was awarded both compensatory and **punitive damages** by the jury.","The plaintiff, who had suffered significant emotional and financial loss, was awarded both compensatory and **money awarded to punish someone** by the jury."
"The company's new product was found to be a **knock-off** of a competitor's product, resulting in a lawsuit for copyright infringement.","The company's new product was found to be a **fake or imitation** of a competitor's product, resulting in a lawsuit for copyright infringement."
"Due to the patient's deteriorating condition, the doctor had to perform an emergency **ablation** to remove the tumor.","Due to the patient's deteriorating condition, the doctor had to perform an emergency **removal** to remove the tumor."
"The two neighbors, after a long argument over the property line, decided to enter into a formal **accord** to resolve their dispute.","The two neighbors, after a long argument over the property line, decided to enter into a formal **agreement** to resolve their dispute."
"The patient, who had been experiencing severe abdominal pain, was diagnosed with a case of **cholecystitis** after an ultrasound.","The patient, who had been experiencing severe abdominal pain, was diagnosed with a case of **gallbladder inflammation** after an ultrasound."
"The defendant, as a condition of his **parole**, was required to report to a probation officer on a weekly basis.","The defendant, as a condition of his **early release from prison**, was required to report to a probation officer on a weekly basis."
"The company, in an attempt to avoid a lengthy trial, offered a financial **settlement** to the plaintiff.","The company, in an attempt to avoid a lengthy trial, offered a financial **agreement to end a lawsuit** to the plaintiff."
"The defense attorney's request for a **mistrial** was granted by the judge due to a serious error in the proceedings.","The defense attorney's request for a **trial that is not valid** was granted by the judge due to a serious error in the proceedings."
"The prosecutor, convinced of the defendant's guilt, presented his **accusation** to the court during the arraignment.","The prosecutor, convinced of the defendant's guilt, presented his **claim of wrongdoing** to the court during the arraignment."
"The lawyer's petition for **amicus curiae** was an attempt to influence the court's decision on behalf of a third-party organization with a strong interest in the outcome.","The lawyer's petition for a **friend of the court brief** was an attempt to influence the court's decision on behalf of a third-party organization with a strong interest in the outcome."
"The patient, who had been experiencing chronic chest pain for several weeks, was diagnosed with **angina** after a consultation with the cardiologist.","The patient, who had been experiencing chronic chest pain for several weeks, was diagnosed with **chest pain** after a consultation with the cardiologist."
"The judge, having been a lawyer for several decades, was an expert in **jurisprudence**, which gave her a deep understanding of the law.","The judge, having been a lawyer for several decades, was an expert in the **study of law**, which gave her a deep understanding of the law."
"The patient was diagnosed with **cholelithiasis** after an ultrasound revealed the presence of gallstones in her gallbladder.","The patient was diagnosed with **gallstones** after an ultrasound revealed the presence of gallstones in her gallbladder."
